"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMMON","Degree","degree.layout","Eccentricity","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","isExcludedFromPaths","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","9.786290322580646","0.01979123861061958","0.10218376596621342","0.3333333333333333","NIP1","3","3","19","0.009","0.82076","-0.248","2.0319E-4","-0.123","0.1009","false","false","Cluster 4","Clustered","2.0","YMR309C","2.3333333333333335","0","3","0","0.5118727598566308","false","0","YMR309C","5122","0.5"
"1","9.85483870967742","0.01710209484549957","0.10147299509001637","0.3333333333333333","PRT1","3","3","18","-0.02","0.60784","-0.085","0.11638","-0.237","0.0031451","false","false","Cluster 4","Seed","2.0","YOR361C","2.6666666666666665","0","3","0","0.5080645161290323","false","0","YOR361C","4108","0.4666666666666667"
"1","7.979838709677419","0.03279540690977939","0.12531581606872158","0.0","YIL105C","2","2","17","0.196","6.9834E-5","0.023","0.66796","0.197","0.016148","false","false",,"Unclustered","0.6666666666666666","YIL105C","2.5","0","2","0","0.6122311827956989","false","0","YIL105C","7186","0.5"
"1","8.068548387096774","0.0","0.12393803098450774","0.0","PDC5","1","1","17","-0.645","1.2585E-11","0.027","0.58514","-0.351","1.2076E-8","false","false",,"Unclustered","0.0","YLR134W","3.0","0","1","0","0.6073028673835126","false","0","YLR134W","0","0.0"
"1","7.07258064516129","0.04783066876167959","0.14139110604332955","0.0","DMC1","3","3","16","-0.219","1.1807E-4","0.059","0.36733","-0.167","0.13801","false","false",,"Unclustered","0.5","YER179W","2.0","0","3","0","0.6626344086021505","false","0","YER179W","9276","0.3333333333333333"
"14","1.0","0.0","1.0","1.0","NOP5","2","2","1","-0.073","0.055533","-0.499","1.7322E-6","-0.157","0.041898","false","false","Cluster 3","Clustered","2.0","YOR310C","2.0","0","2","0","1.0","false","0","YOR310C","0","1.0"
"14","1.0","0.0","1.0","1.0","NOP1","2","2","1","-0.039","0.32352","-0.176","0.012945","-0.038","0.62955","false","false","Cluster 3","Seed","2.0","YDL014W","2.0","0","2","0","1.0","false","0","YDL014W","0","1.0"
"1","6.483870967741935","0.2930651691262897","0.15422885572139305","0.0","CLB2","2","2","16","-0.234","3.9246E-6","-0.279","6.2635E-4","-0.342","1.6424E-5","false","false",,"Unclustered","0.6666666666666666","YPR119W","12.5","0","2","0","0.6953405017921147","false","0","YPR119W","54840","0.5"
"1","8.120967741935484","0.00806451612903226","0.12313803376365441","0.0","SYF3","2","2","18","0.326","7.6184E-7","-0.234","0.0048407","0.712","6.8931E-6","false","false",,"Unclustered","0.6666666666666666","YLR117C","4.0","0","2","0","0.6043906810035842","false","0","YLR117C","1032","0.5"
"1","8.10483870967742","0.024013974141308608","0.12338308457711442","0.0","PDR1","3","3","18","0.185","1.959E-4","-0.152","0.013422","0.173","0.0945","false","false",,"Unclustered","0.5","YGL013C","3.6666666666666665","0","3","0","0.6052867383512545","false","0","YGL013C","4106","0.38095238095238093"
"1","8.10483870967742","0.02399764920987332","0.12338308457711442","0.0","YCR086W","2","2","18","-0.081","0.32121","-0.397","0.080473","0.381","0.17239","false","false",,"Unclustered","0.6666666666666666","YCR086W","4.5","0","2","0","0.6052867383512545","false","0","YCR086W","3084","0.5"
"1","7.133064516129032","0.30517826825127337","0.14019219898247598","0.0","YDR412W","7","7","17","0.067","0.27226","-0.641","1.6949E-5","0.991","2.4711E-5","false","false",,"Unclustered","0.25","YDR412W","2.857142857142857","0","7","0","0.6592741935483871","false","0","YDR412W","55770","0.14285714285714285"
